id,human_readable_id,source,target,description,weight,combined_degree,text_unit_ids
863e30af-36d2-449c-8bb0-6327ee63047d,21,A-004,용적률 산정용 연면적,A-004 sheet contains the floor area ratio calculation area field,6.0,15,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
d90d4d4f-ece4-4b29-9378-b23945aca0d4,22,A-004,건폐율,A-004 sheet contains the building coverage ratio field,6.0,17,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
b670ac38-7496-4fbb-8236-aaf2710fac43,23,A-004,용적률,A-004 sheet contains the floor area ratio field,6.0,16,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
b88a73da-25f9-4e3e-8dfc-94ba4ce6cf01,24,A-004,주 차 대 수,A-004 sheet contains the parking space count field,6.0,16,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
bb771856-57ed-4b56-91b7-c54a61a0d23a,25,A-004,단위세대 분양 면적표,A-004 sheet includes the unit sales area table,7.0,29,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
4a9c9129-96b6-44fd-81f8-12e2ce61d27f,26,단위세대 분양 면적표,공동주택,The area table lists apartment housing as a category,7.0,18,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
bbdb9b60-0cc9-4f2c-8472-cba1303b5365,27,단위세대 분양 면적표,복리,The area table lists welfare/support space as a category,7.0,16,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
2675ebc5-fa8d-4793-86d7-e3cf408aeefc,28,단위세대 분양 면적표,부대,The area table lists auxiliary space as a category,7.0,16,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
02f0321d-776b-4e9d-9ed8-881a54832e6b,29,단위세대 분양 면적표,시설,The area table lists facility space as a category,7.0,16,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
ac4aba69-7b58-48bd-b520-67e243e0acad,30,단위세대 분양 면적표,근린생활시설,The area table lists neighborhood living facilities as a category,7.0,16,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
39b3a7f4-c93b-4ad4-9534-0c8909599e7f,31,단위세대 분양 면적표,총 계,The area table includes a total row,7.0,16,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
fabc34c2-a083-4341-8536-0b3891fecdfd,32,단위세대 분양 면적표,84㎡형,"The **단위세대 분양 면적표** includes the **84㎡형**, indicating that the unit area table contains the 84 square meter unit type. This confirms that the 84㎡ unit type is part of the listed residential area classifications in the unit sales area table.",15.0,37,"['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891'
 '67f9de167fccdd34e45f690f3292e6b444d6b91267716711a42a2dd24dc8d531284b64da6c937523942ecf894d32830ec365a41dd54c648cc0bb0eb62b74a627']"
0862ebcc-2d1c-4c51-8944-53b46dff84c0,33,단위세대 분양 면적표,대지 면적,The area table includes land area information,6.0,17,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
6d79573a-9f8b-42fe-af26-7f0c7718d2a4,34,단위세대 분양 면적표,제외면,The area table includes excluded area information,6.0,16,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
8b3cb376-46b7-4fa6-bd80-69a2b0077009,35,공동주택,84㎡형,The apartment housing category includes an 84 square meter unit type,6.0,25,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
e2989f81-e894-4248-bd93-9093c3fc698b,36,대한민국,ECO2,The document is Korean-language educational material from Korea,3.0,5,['cccb957abe0dfc0ba984248905a15e5bf00b1e12e730857e8c6a100f7c3c41f690789c9eafa89e1670094975950e394297f10ae6d3c5569d0b16ffa03bcb2891']
a4d6c455-566e-46ff-a5fe-881a46ef0df6,37,ㅇㅇ블럭 공동주택 계획안,전북 완주군 ㅇㅇ블럭,"The apartment housing plan is located at the ㅇㅇ블럭 site in Wanju County, Jeollabuk-do.",10.0,23,['67f9de167fccdd34e45f690f3292e6b444d6b91267716711a42a2dd24dc8d531284b64da6c937523942ecf894d32830ec365a41dd54c648cc0bb0eb62b74a627']
96f3d8d4-82b9-449f-a58a-64e112a8cc69,38,ㅇㅇ블럭 공동주택 계획안,제3종일반주거지역,The project plan is designated within a third-class general residential zone.,9.0,23,['67f9de167fccdd34e45f690f3292e6b444d6b91267716711a42a2dd24dc8d531284b64da6c937523942ecf894d32830ec365a41dd54c648cc0bb0eb62b74a627']
7958f743-ef6a-4341-a7e5-9f6f36838018,39,ㅇㅇ블럭 공동주택 계획안,지구단위계획구역,The project plan is within a district-unit planning zone.,9.0,23,['67f9de167fccdd34e45f690f3292e6b444d6b91267716711a42a2dd24dc8d531284b64da6c937523942ecf894d32830ec365a41dd54c648cc0bb0eb62b74a627']
ac36c300-b131-443c-9748-b694e1e517c2,40,ㅇㅇ블럭 공동주택 계획안,공동주택,The plan consists primarily of apartment housing units.,10.0,25,['67f9de167fccdd34e45f690f3292e6b444d6b91267716711a42a2dd24dc8d531284b64da6c937523942ecf894d32830ec365a41dd54c648cc0bb0eb62b74a627']
d531328a-3de1-496a-9ef7-3cd975dc3af8,41,ㅇㅇ블럭 공동주택 계획안,관리사무소,The plan includes a management office as part of its facilities.,8.0,23,['67f9de167fccdd34e45f690f3292e6b444d6b91267716711a42a2dd24dc8d531284b64da6c937523942ecf894d32830ec365a41dd54c648cc0bb0eb62b74a627']
cfde03a7-4168-4385-9bd0-e05afcd29e8f,42,ㅇㅇ블럭 공동주택 계획안,경로당,The plan includes a senior citizens' hall as part of its welfare facilities.,8.0,24,['67f9de167fccdd34e45f690f3292e6b444d6b91267716711a42a2dd24dc8d531284b64da6c937523942ecf894d32830ec365a41dd54c648cc0bb0eb62b74a627']
aa8251f8-27b9-41aa-8a08-36fa4455efd2,43,ㅇㅇ블럭 공동주택 계획안,어린이집,The plan includes a daycare center as part of its welfare facilities.,8.0,24,['67f9de167fccdd34e45f690f3292e6b444d6b91267716711a42a2dd24dc8d531284b64da6c937523942ecf894d32830ec365a41dd54c648cc0bb0eb62b74a627']
8985fde4-2473-4e3c-8480-77a824ee8ed0,44,ㅇㅇ블럭 공동주택 계획안,작은도서관,The plan includes a small library as part of its welfare facilities.,8.0,23,['67f9de167fccdd34e45f690f3292e6b444d6b91267716711a42a2dd24dc8d531284b64da6c937523942ecf894d32830ec365a41dd54c648cc0bb0eb62b74a627']
b3b77761-ce02-41d6-b776-ca7fa2bcd83e,45,ㅇㅇ블럭 공동주택 계획안,주민공동시설,The plan includes shared resident community facilities.,8.0,23,['67f9de167fccdd34e45f690f3292e6b444d6b91267716711a42a2dd24dc8d531284b64da6c937523942ecf894d32830ec365a41dd54c648cc0bb0eb62b74a627']
a78e0019-4bb7-40fb-a17d-4053a18beefa,46,ㅇㅇ블럭 공동주택 계획안,경비실,The plan includes a security office as part of the complex facilities.,8.0,23,['67f9de167fccdd34e45f690f3292e6b444d6b91267716711a42a2dd24dc8d531284b64da6c937523942ecf894d32830ec365a41dd54c648cc0bb0eb62b74a627']
f96d768b-b7ce-4998-b547-5334088242a7,47,ㅇㅇ블럭 공동주택 계획안,중앙공급실,The plan includes a central supply room as part of the complex facilities.,8.0,23,['67f9de167fccdd34e45f690f3292e6b444d6b91267716711a42a2dd24dc8d531284b64da6c937523942ecf894d32830ec365a41dd54c648cc0bb0eb62b74a627']
07ad3270-5d73-42b5-a272-1faf0bfb60c0,48,ㅇㅇ블럭 공동주택 계획안,지하주차장,The plan includes an underground parking facility and gives it a large area allocation.,9.0,29,['67f9de167fccdd34e45f690f3292e6b444d6b91267716711a42a2dd24dc8d531284b64da6c937523942ecf894d32830ec365a41dd54c648cc0bb0eb62b74a627']
03535f74-1e96-4430-881e-b8a8b65efa57,49,ㅇㅇ블럭 공동주택 계획안,철근콘크리트 벽식구조,The plan specifies a reinforced concrete wall-bearing structural system.,8.0,23,['67f9de167fccdd34e45f690f3292e6b444d6b91267716711a42a2dd24dc8d531284b64da6c937523942ecf894d32830ec365a41dd54c648cc0bb0eb62b74a627']
